iter	MultiClass
0	1.031203176
1	0.9801000914
2	0.9372528019
3	0.902139835
4	0.8726141147
5	0.8483426423
6	0.8269702641
7	0.8092815133
8	0.7935070544
9	0.7797190827
10	0.7674407857
11	0.7572368174
12	0.7477134582
13	0.7397536192
14	0.7329077244
15	0.7265040268
16	0.7212571822
17	0.7165717707
18	0.7128278143
19	0.708726939
20	0.705306236
21	0.7028806325
22	0.7006207126
23	0.6982501386
24	0.695593438
25	0.6938063054
26	0.692328006
27	0.6901185329
28	0.6885389907
29	0.6872851497
30	0.6859629096
31	0.6847362119
32	0.6837529273
33	0.6830765693
34	0.6822884037
35	0.6809727719
36	0.680117239
37	0.6790367503
38	0.6783451441
39	0.6775483819
40	0.6769915273
41	0.6765490042
42	0.6759502612
43	0.675511807
44	0.6747829959
45	0.6741871382
46	0.6734139218
47	0.6730522985
48	0.6724967
49	0.6719626545
50	0.6718027493
51	0.6713873815
52	0.6708382882
53	0.6704138175
54	0.6698761104
55	0.6696016346
56	0.6692167345
57	0.6688871339
58	0.6684140932
59	0.6682112557
60	0.6680075482
61	0.6673035798
62	0.6669169297
63	0.6663879597
64	0.6661619336
65	0.665891992
66	0.6655355605
67	0.6651961984
68	0.6650004337
69	0.6647461152
70	0.6644569397
71	0.6641378129
72	0.6637405509
73	0.6634255629
74	0.6632743853
75	0.6631191868
76	0.66279741
77	0.6624857246
78	0.6622608617
79	0.6620116235
80	0.6616120434
81	0.6611763541
82	0.6609127663
83	0.6606572259
84	0.66042931
85	0.6602002322
86	0.6599737157
87	0.659826153
88	0.6594394474
89	0.6590397649
90	0.6589121852
91	0.6586023963
92	0.6582734787
93	0.657903414
94	0.6577308208
95	0.657588224
96	0.6573545078
97	0.657193444
98	0.656930176
99	0.6566839975
100	0.6566109965
101	0.6564330073
102	0.6559906705
103	0.6558963319
104	0.6555712632
105	0.6554128419
106	0.6551424998
107	0.6550245517
108	0.6546697504
109	0.6543399159
110	0.6540520028
111	0.6537845644
112	0.6534440476
113	0.6532354117
114	0.6528862438
115	0.6526669806
116	0.6524246678
117	0.6522385778
118	0.6520362746
119	0.6517529336
120	0.6514671562
121	0.6513425999
122	0.6510315846
123	0.6507663546
124	0.6506109302
125	0.6503075591
126	0.649963344
127	0.6496551857
128	0.649474254
129	0.6490574632
130	0.6488220987
131	0.6485740257
132	0.6484132364
133	0.6482191513
134	0.6479635725
135	0.6476675789
136	0.6474160615
137	0.6471639685
138	0.6469817849
139	0.6465491919
140	0.6463490601
141	0.6461173905
142	0.6459352015
143	0.6457096866
144	0.6454317591
145	0.6451492259
146	0.645011176
147	0.6447534972
148	0.6445561693
149	0.6442356492
150	0.6438934193
151	0.6436648554
152	0.6434364301
153	0.6432290161
154	0.643051408
155	0.642764596
156	0.642612172
157	0.6423665786
158	0.6419434721
159	0.6416798654
160	0.6415167588
161	0.641173283
162	0.6410328054
163	0.6408521664
164	0.6406416466
165	0.6403820884
166	0.6400030723
167	0.6398269607
168	0.6396967249
169	0.6393958368
170	0.6391001226
171	0.6389064169
172	0.6385948156
173	0.6383776095
174	0.6381674268
175	0.6379139135
176	0.6375397043
177	0.6372088772
178	0.6370387764
179	0.6368465572
180	0.6365720648
181	0.6364128476
182	0.636160181
183	0.6359051025
184	0.6355842179
185	0.6351941772
186	0.6349483283
187	0.6346618964
188	0.6344362781
189	0.6341823594
190	0.6339284132
191	0.633618942
192	0.6333789361
193	0.6331654194
194	0.6328283257
195	0.6326385261
196	0.6325352152
197	0.6323949576
198	0.6321625754
199	0.6319891196
200	0.6317235191
201	0.6315532736
202	0.6314423981
203	0.6312923792
204	0.6310107647
205	0.6307856696
206	0.6305905627
207	0.6303890783
208	0.630200854
209	0.630115172
210	0.6298896892
211	0.6295925077
212	0.6293563225
213	0.6291137858
214	0.628965572
215	0.6288066739
216	0.6286207954
217	0.6282151727
218	0.6279142325
219	0.6277841844
220	0.627613072
221	0.6274567873
222	0.6272172449
223	0.6270424698
224	0.6269041486
225	0.626660613
226	0.6264138166
227	0.6262491898
228	0.6259564785
229	0.62577136
230	0.6256283306
231	0.6254579818
232	0.6251307901
233	0.6250009014
234	0.6248419779
235	0.6244940381
236	0.6242997851
237	0.623982317
238	0.6238865175
239	0.6237415268
240	0.6235026407
241	0.6233180252
242	0.6231146827
243	0.6228572856
244	0.6225906427
245	0.6224146173
246	0.6223162091
247	0.6221735405
248	0.6219021718
249	0.6217482764
250	0.621585347
251	0.6212813053
252	0.6211664902
253	0.6210158965
254	0.6208400195
255	0.6206710509
256	0.6204374098
257	0.6202872581
258	0.6200545542
259	0.6198206825
260	0.6196107711
261	0.6194732595
262	0.6192253047
263	0.6190733744
264	0.6189109503
265	0.6187331136
266	0.6185348627
267	0.6183399808
268	0.6181782551
269	0.6179887533
270	0.6178680399
271	0.6175527969
272	0.6172124347
273	0.6170400558
274	0.6168655155
275	0.6166621857
276	0.6165803935
277	0.6164716877
278	0.6163641707
279	0.6162503899
280	0.6160681092
281	0.6158617542
282	0.6156744705
283	0.6153459126
284	0.6152657786
285	0.6150754368
286	0.6149430742
287	0.6148649207
288	0.6146085146
289	0.6144280421
290	0.6142741253
291	0.6141411443
292	0.6139830511
293	0.6137872793
294	0.613686643
295	0.6135416519
296	0.6133962832
297	0.6131134141
298	0.6129282928
299	0.6126960578
300	0.6125877371
301	0.6124727054
302	0.6122302353
303	0.612113931
304	0.6120005838
305	0.6117585363
306	0.6115994087
307	0.6113117673
308	0.6110453164
309	0.6108840143
310	0.6106878219
311	0.6105551989
312	0.6103908416
313	0.6102087946
314	0.6100781404
315	0.6099252775
316	0.6097646066
317	0.6096268375
318	0.6095582262
319	0.6094292469
320	0.6093054437
321	0.6089715635
322	0.6087827626
323	0.60851501
324	0.6083537479
325	0.6081254008
326	0.6079820836
327	0.6078644706
328	0.6077608284
329	0.6075593297
330	0.6073753746
331	0.6072716386
332	0.6071850629
333	0.6069908258
334	0.6066909276
335	0.6064431077
336	0.6063386185
337	0.6061618264
338	0.6059568492
339	0.6058600841
340	0.6055938582
341	0.6054525296
342	0.6052924801
343	0.605156751
344	0.6050849613
345	0.6049390625
346	0.6047376367
347	0.604577293
348	0.6044810026
349	0.6043632983
350	0.6041465161
351	0.6040609999
352	0.6039384507
353	0.6036416821
354	0.6035039818
355	0.6033245007
356	0.6032036519
357	0.6031457195
358	0.6029631824
359	0.6027688446
360	0.6025955083
361	0.6024955697
362	0.6021411749
363	0.6018987063
364	0.6017602968
365	0.6015746865
366	0.6012179582
367	0.601090135
368	0.6009193414
369	0.6007730746
370	0.6005784998
371	0.6004145235
372	0.6003083102
373	0.6001615371
374	0.5998638892
375	0.5997368389
376	0.5995351088
377	0.5994372092
378	0.5991416445
379	0.5989914381
380	0.5986791057
381	0.5985384066
382	0.5984046022
383	0.5982746229
384	0.5981930561
385	0.5980063824
386	0.5979420409
387	0.5978500016
388	0.5977129483
389	0.5975263724
390	0.5974458183
391	0.5972883833
392	0.5971756997
393	0.5970940874
394	0.5967906745
395	0.5966207231
396	0.5965365123
397	0.5963282857
398	0.5961626177
399	0.5958728231
400	0.5957051407
401	0.5955950999
402	0.5954946961
403	0.5954102455
404	0.5952579051
405	0.5949245102
406	0.5946916077
407	0.5945897222
408	0.5945147039
409	0.5943647144
410	0.5942260929
411	0.5941148001
412	0.5940436745
413	0.5939139528
414	0.593765874
415	0.5936418155
416	0.5935181674
417	0.5933998912
418	0.5932877912
419	0.5931710009
420	0.5929910946
421	0.5928253898
422	0.5927060321
423	0.5925645511
