iter	Passed	Remaining
0	207	207371
1	259	129582
2	314	104432
3	373	92990
4	431	85861
5	483	80034
6	533	75633
7	580	71941
8	630	69452
9	691	68499
10	737	66314
11	784	64571
12	834	63374
13	890	62702
14	964	63367
15	1025	63080
16	1084	62724
17	1139	62165
18	1203	62121
19	1267	62104
20	1320	61556
21	1368	60831
22	1430	60783
23	1484	60383
24	1535	59882
25	1581	59239
26	1624	58528
27	1683	58449
28	1725	57789
29	1769	57208
30	1815	56740
31	1866	56452
32	1934	56696
33	2017	57322
34	2087	57552
35	2164	57970
36	2232	58106
37	2303	58315
38	2369	58393
39	2445	58692
40	2500	58490
41	2558	58355
42	2630	58545
43	2683	58309
44	2740	58164
45	2795	57968
46	2851	57821
47	2922	57954
48	2998	58197
49	3075	58441
50	3144	58512
51	3215	58624
52	3275	58530
53	3351	58706
54	3409	58579
55	3467	58452
56	3522	58274
57	3588	58290
58	3645	58147
59	3696	57912
60	3746	57665
61	3803	57550
62	3873	57617
63	3931	57493
64	4009	57673
65	4097	57988
66	4162	57959
67	4226	57931
68	4283	57801
69	4359	57925
70	4422	57870
71	4477	57704
72	4547	57747
73	4619	57812
74	4669	57590
75	4709	57255
76	4757	57033
77	4801	56756
78	4851	56564
79	4909	56456
80	4964	56329
81	5026	56273
82	5086	56197
83	5158	56250
84	5220	56201
85	5282	56143
86	5347	56112
87	5403	55995
88	5456	55854
89	5502	55635
90	5542	55365
91	5599	55268
92	5646	55066
93	5685	54794
94	5726	54550
95	5768	54318
96	5812	54107
97	5869	54021
98	5917	53857
99	5981	53833
100	6035	53724
101	6096	53672
102	6149	53553
103	6195	53378
104	6246	53243
105	6303	53166
106	6356	53052
107	6409	52939
108	6458	52792
109	6498	52576
110	6596	52833
111	6664	52840
112	6711	52685
113	6753	52490
114	6795	52295
115	6856	52248
116	6907	52132
117	6960	52023
118	7016	51946
119	7077	51902
120	7135	51837
121	7188	51730
122	7231	51563
123	7277	51411
124	7336	51354
125	7406	51373
126	7454	51242
127	7498	51082
128	7539	50908
129	7597	50844
130	7647	50733
131	7696	50612
132	7737	50441
133	7777	50266
134	7825	50140
135	7884	50092
136	7941	50025
137	7996	49946
138	8059	49922
139	8121	49889
140	8171	49781
141	8220	49668
142	8265	49533
143	8344	49602
144	8408	49579
145	8461	49491
146	8502	49336
147	8545	49195
148	8609	49173
149	8658	49064
150	8701	48923
151	8745	48789
152	8800	48720
153	8854	48639
154	8908	48567
155	8966	48512
156	9033	48503
157	9104	48517
158	9164	48472
159	9214	48376
160	9268	48301
161	9338	48304
162	9386	48199
163	9437	48108
164	9480	47974
165	9538	47922
166	9587	47822
167	9623	47661
168	9662	47509
169	9714	47427
170	9769	47359
171	9827	47311
172	9874	47201
173	9917	47079
174	10003	47160
175	10068	47138
176	10114	47027
177	10160	46920
178	10210	46833
179	10282	46843
180	10341	46795
181	10385	46676
182	10449	46651
183	10506	46595
184	10555	46502
185	10596	46371
186	10635	46237
187	10682	46141
188	10743	46098
189	10793	46016
190	10833	45886
191	10879	45784
192	10951	45792
193	11036	45851
194	11081	45746
195	11127	45644
196	11172	45541
197	11236	45514
198	11300	45487
199	11348	45393
200	11425	45417
201	11511	45474
202	11551	45350
203	11590	45227
204	11641	45145
205	11699	45094
206	11830	45322
207	11928	45420
